Nome da Escola,Endereço,Telefone
Eeee Abnael Machado De Lima - Cene,"Av. Amazonas, 6492 - Tiradentes, Porto Velho - RO, 76848-000",(69) 3226-4680
EMEIEF Pequenos Talentos,"R. Caetano, 3256 - Caladinho, Porto Velho - RO, 76808-108",(69) 3213-2061
