Nome da Escola
CEEJA Luiz Vaz De Camões
EEEFM Padre Ezequiel Ramin
Escola Estadual de Ensino Fundamental e Médio J. K. de Oliveira
Escola Estadual de Ensino Fundamental Euridice Lopes Pedroso
EMEIEF BOA ESPERANÇA
Eeef Tancredo De Almeida Neves
Escola Municipal de Ensino Fundamental Mariomá Pereira da Silva
Escola Municipal Principio Da Sabedoria
E. E. Manoel Bandeira
Escola Estadual de Encino Fundamental e Medio CTPM XI
EMEIEF PEDRO ALEIXO
E M Jardim Das Flores
E M Profº Benjamin Padoa
EMEIEF Izidoro Stedile
EMEIEF 17 de Junho
José Basílio da Gama
Escola Municipal Maria Domingas Mazzarello
E E 19 De Maio
Ee Prof. Marines Fatima De Sa Teixeira
Escola Estadual Jardim Universitário
APP Nova Esperança
EMEF - Escola Municipal de Ensino Fundamental
Pré Escolar Floresta Encantada
Centro Educacional de Alta Floresta
Cora Coralina
Escola Municipal de Ensino Fundamental e Médio Magdalena Tagliaferro
Escola Municipal Prof Levi
Escola Municipal Mário Quintana
E.E.E.F Albina Marció Sordi
Escola Municipal de Ensino Fundamental Professor Venanciokottwitz
APP da Escola de 1º Grau Jardim das Pedras
Escola Migrantes
Escola Municipal de Ensino Fundamental Dr. Dirceu de Almeida
Escola Municipal de Ensino Fundamental Roberto Turbay
E.E.E.F.M. Ricardo Cantanhede
Eeefm Jardim Das Pedras
Escola Chapeuzinho Vermelho
E.M.E.I.E.F. PROFª. Eva Dos Santos de Oliveira
Escola Municipal de Educação Infantil e Ensino Fundamental Sonho Meu
Escola Municipal de Educação Infantil e Ensino Fundamental Jorge Teixeira
Escola Ireno Berticelli
E.E.E.M.T.I HEITOR VILLA LOBOS
Centro Estadual de Educação Jovens e Adultos Ariquemes - Cear
Eeefm Professora Carmem Ione De Araujo
Escola Municipal de Educação Infantil e Ensino Fundamental Levi Alves de Freitas
ESCOLA PROF QUITÉRIA DE OLIVEIRA DA SILVA
Escola Castorzinho
Colegio Excelência
Colégio Dinâmico
SEMED - Secretaria Municipal de Educação de Ariquemes
Colégio Tiradentes da Polícia Militar III
Centro Educacional Monteiro Lobato
Creche Moranguinho
Escola Estadual de Ensino Fundamental e Médio Anísio
