Nome da Escola
Eieef Hap Bitt Tupari
EIEEF HAP BITT TUPARI
CEEJA LUIZ VAZ DE CAMOES
EMMEF 7 DE SETEMBRO
EMEIEF ANA NERY
EMEIEF BOA ESPERANCA
EEEFM EURIDICE LOPES PEDROSO
EMEIEF IZIDORO STEDILE
EMEIEF JOSE BASILIO DA GAMA
EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA
EMMEF MALBA TAHAN
EMEIEF MARIA DE SOUZA PEGO
EMMEF MARTIM AFONSO DE SOUZA
EMEIEF PADRE FEIJO
EMEIEF PEDRO ALEIXO
EMEIEF POTY
EMMEF SAO JORGE
EEEF TANCREDO DE ALMEIDA NEVES
COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XI
EMEIEF FLORESTA ENCANTADA
EIEEF ERAPOARON MAKURAP
