Nome da Escola,Endereço
Escola Municipal Prof. Ramez Tebet,"Av. Filinto Müller, 3215 - Jardim Morumbi, Três Lagoas - MS, 79601-970"
Escola Estadual Fernando Corrêa,"R. João Carrato, 1560 - Centro, Três Lagoas - MS, 79601-011"
