Nome da Escola,Endereço
Escola Estadual Fernando Corrêa,"R. João Carrato, 1560 - Centro, Três Lagoas - MS, 79601-011"
Escola Estadual Fernando Corrêa,"R. João Carrato, 1560 - Centro, Três Lagoas - MS, 79601-011"
